,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED,,
2213,LEARN_VIDEOS,1,1,1,1,,
2218,LEARN_VIDEOS,2,1,1,1,,
2223,LEARN_VIDEOS,3,1,1,1,,
2228,LEARN_VIDEOS,4,1,1,1,,
2233,LEARN_VIDEOS,5,1,1,1,,
2238,LEARN_VIDEOS,6,1,1,1,,
2243,LEARN_VIDEOS,7,1,1,1,,
2248,LEARN_VIDEOS,9,1,1,1,,
2253,LEARN_VISITING,1,1,1,1,,
2258,LEARN_VISITING,2,1,1,1,,
2263,LEARN_VISITING,3,1,1,1,,
2268,LEARN_VISITING,4,1,1,1,,
2273,LEARN_VISITING,5,1,1,1,,
2278,LEARN_VISITING,6,1,1,1,,
2283,LEARN_VISITING,7,1,1,1,,
2288,LEARN_VISITING,9,1,1,1,,
2293,LEASE_GRAZE_2,-2,1,1,1,,
2298,LEASE_GRAZE_2,0,,,1,,
2303,LEASE_GRAZE_2,1,1,1,1,,
2308,LEASE_HUNT_2,-2,,,1,,
2313,LEASE_HUNT_2,0,,,1,,
2318,LEASE_HUNT_2,1,1,1,1,,
2323,LEASE_NTFP_2,-2,,,1,,
2328,LEASE_NTFP_2,0,,,1,,
2333,LEASE_NTFP_2,1,1,1,1,,
2338,LEASE_OTHER_2,-2,,,1,,
2343,LEASE_OTHER_2,0,,,1,,
2348,LEASE_OTHER_2,1,1,1,1,,
2353,LEASE_RECENT,-2,1,1,1,,
2358,LEASE_RECENT,0,1,1,1,,
2363,LEASE_RECENT,1,1,1,1,,
2368,LEASE_RECENT,2,1,1,1,,
2373,LEASE_RECREATE_2,-2,,,1,,
2378,LEASE_RECREATE_2,0,,,1,,
2383,LEASE_RECREATE_2,1,1,1,1,,
2388,LEASE_TIMBER_2,-2,,,1,,
2393,LEASE_TIMBER_2,0,,,1,,
2398,LEASE_TIMBER_2,1,1,1,1,,
2403,LEASED,0,1,1,1,,
2408,LEASED,1,1,1,1,,
2413,MANAGEMENT_PLAN,0,1,1,1,,
2418,MANAGEMENT_PLAN,1,1,1,1,,
2423,MANAGEMENT_PLAN,2,1,1,1,,
2428,MANAGER_FAMILY,0,,,1,,
2433,MANAGER_FAMILY,1,1,1,1,,
2438,MANAGER_FORESTER,0,,,1,,
2443,MANAGER_FORESTER,1,1,1,1,,
2448,MANAGER_LEASEE,0,,,1,,
2453,MANAGER_LEASEE,1,1,1,1,,
2458,MANAGER_LOGGER,0,,,1,,
2463,MANAGER_LOGGER,1,1,1,1,,
2468,MANAGER_OTHER,0,,,1,,
2473,MANAGER_OTHER,1,1,1,1,,
2478,MANAGER_OWNER,0,,,1,,
2483,MANAGER_OWNER,1,1,1,1,,
2488,MANAGER_PARTNER,0,,,1,,
2493,MANAGER_PARTNER,1,1,1,1,,
2498,NOT_ORGANIZATION,0,,,1,,
2503,NOT_ORGANIZATION,1,,,1,,
2508,NTFP_COLLECT,0,1,1,1,,
2513,NTFP_COLLECT,1,1,1,1,,
2518,NTFP_CULTURAL,-2,,,1,,
2523,NTFP_CULTURAL,0,,,1,,
2528,NTFP_CULTURAL,1,1,1,1,,
2533,NTFP_DECORATIVE,-2,,,1,,
2538,NTFP_DECORATIVE,0,,,1,,
2543,NTFP_DECORATIVE,1,1,1,1,,
2548,NTFP_EDIBLE,-2,1,1,1,,
2553,NTFP_EDIBLE,0,,,1,,
2558,NTFP_EDIBLE,1,1,1,1,,
2563,NTFP_MEDICINAL,-2,,,1,,
2568,NTFP_MEDICINAL,0,,,1,,
2573,NTFP_MEDICINAL,1,1,1,1,,
2578,NTFP_OTHER,-2,,,1,,
2583,NTFP_OTHER,0,,,1,,
2588,NTFP_OTHER,1,1,1,1,,
2593,NTFP_PERSONAL,-2,,,1,,
2598,NTFP_PERSONAL,0,,,1,,
2603,NTFP_PERSONAL,1,1,1,1,,
2608,NTFP_RECENT,-2,1,1,1,,
2613,NTFP_RECENT,0,1,1,1,,
2618,NTFP_RECENT,1,1,1,1,,
2623,NTFP_RECENT,2,1,1,1,,
2628,NTFP_SALE,-2,1,1,1,,
2633,NTFP_SALE,0,,,1,,
2638,NTFP_SALE,1,1,1,1,,
2643,OBJ_AESTHETICS,1,1,1,1,,
2648,OBJ_AESTHETICS,2,1,1,1,,
2653,OBJ_AESTHETICS,3,1,1,1,,
2658,OBJ_AESTHETICS,4,1,1,1,,
2663,OBJ_AESTHETICS,5,1,1,1,,
2668,OBJ_AESTHETICS,6,1,1,1,,
2673,OBJ_AESTHETICS,7,1,1,1,,
2678,OBJ_BIODIVERSITY,1,1,1,1,,
2683,OBJ_BIODIVERSITY,2,1,1,1,,
2688,OBJ_BIODIVERSITY,3,1,1,1,,
2693,OBJ_BIODIVERSITY,4,1,1,1,,
2698,OBJ_BIODIVERSITY,5,1,1,1,,
2703,OBJ_BIODIVERSITY,6,1,1,1,,
2708,OBJ_BIODIVERSITY,7,1,1,1,,
2713,OBJ_FARM,1,1,1,1,,
2718,OBJ_FARM,2,1,1,1,,
2723,OBJ_FARM,3,1,1,1,,
2728,OBJ_FARM,4,1,1,1,,
2733,OBJ_FARM,5,1,1,1,,
2738,OBJ_FARM,6,1,1,1,,
2743,OBJ_FARM,7,1,1,1,,
2748,OBJ_FIREWOOD,1,1,1,1,,
2753,OBJ_FIREWOOD,2,1,1,1,,
2758,OBJ_FIREWOOD,3,1,1,1,,
2763,OBJ_FIREWOOD,4,1,1,1,,
2768,OBJ_FIREWOOD,5,1,1,1,,
2773,OBJ_FIREWOOD,6,1,1,1,,
2778,OBJ_FIREWOOD,7,1,1,1,,
2783,OBJ_HOME,1,1,1,1,,
2788,OBJ_HOME,2,1,1,1,,
2793,OBJ_HOME,3,1,1,1,,
2798,OBJ_HOME,4,1,1,1,,
2803,OBJ_HOME,5,1,1,1,,
2808,OBJ_HOME,6,1,1,1,,
2813,OBJ_HOME,7,1,1,1,,
2843,OBJ_HUNT,6,1,1,1,,
2848,OBJ_HUNT,7,1,1,1,,
2853,OBJ_INVEST,1,1,1,1,,
2858,OBJ_INVEST,2,1,1,1,,
2863,OBJ_INVEST,3,1,1,1,,
2868,OBJ_INVEST,4,1,1,1,,
2873,OBJ_INVEST,5,1,1,1,,
2878,OBJ_INVEST,6,1,1,1,,
2883,OBJ_INVEST,7,1,1,1,,
2888,OBJ_LEGACY,1,1,1,1,,
2893,OBJ_LEGACY,2,1,1,1,,
