,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED
2387,SILV_NAT,1,1,1,1
2392,SILV_OTH,0,,,1
2397,SILV_OTH,1,1,1,1
2402,SILV_PLANT,0,,,1
2407,SILV_PLANT,1,1,1,1
2412,SILV_PRECOM,0,,,1
2417,SILV_PRECOM,1,1,1,1
2422,SILV_REAL,0,,,1
2427,SILV_REAL,1,1,1,1
2432,SILV_SEED,0,,,1
2437,SILV_SEED,1,1,1,1
2442,SILV_SHELTER,0,,,1
2447,SILV_SHELTER,1,1,1,1
2452,SILV_SINGLE,0,,,1
2457,SILV_SINGLE,1,1,1,1
2462,SOLD_PAST,NA,,,1
2464,SOLD_PAST_CAT,0,1,1,1
2469,SOLD_PAST_CAT,1,1,1,1
2474,SOLD_PAST_CAT,10,1,1,1
2479,SOLD_PAST_CAT,100,1,1,1
2484,SOLD_PAST_CAT,2,1,1,1
2489,SOLD_PAST_CAT,5,1,1,1
2494,SOLD_PAST_CAT,50,1,1,1
2499,THIN,0,1,1,1
2504,THIN,1,1,1,1
2509,TIMO,0,1,1,1
2514,TIMO,1,1,1,1
2524,USE_AGRO,0,,,1
2529,USE_AGRO,1,1,1,1
2534,USE_CARB,0,,,1
2539,USE_CARB,1,1,1,1
2544,USE_HAB,0,,,1
2549,USE_HAB,1,1,1,1
2554,USE_HUNT,0,,,1
2559,USE_HUNT,1,1,1,1
2564,USE_MIN,0,,,1
2569,USE_MIN,1,1,1,1
2574,USE_OTH,0,,,1
2579,USE_OTH,1,1,1,1
2584,USE_PWAT,0,,,1
2589,USE_PWAT,1,1,1,1
2594,USE_REC,0,,,1
2599,USE_REC,1,1,1,1
2604,USE_TIM,0,,,1
2609,USE_TIM,1,1,1,1
2614,USE_WET,0,,,1
2619,USE_WET,1,1,1,1
2624,WF_EQUIP,0,1,1,1
2629,WF_EQUIP,1,1,1,1
