,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED
3683,OWN2_RACE_BLACK,1,,,1
3688,OWN2_RACE_HAWAIIAN,-2,,,1
3693,OWN2_RACE_HAWAIIAN,0,,,1
3698,OWN2_RACE_HAWAIIAN,1,,,1
3703,OWN2_RACE_INDIAN,-2,,,1
3708,OWN2_RACE_INDIAN,0,,,1
3713,OWN2_RACE_INDIAN,1,,,1
3718,OWN2_RACE_WHITE,-2,,,1
3723,OWN2_RACE_WHITE,0,,,1
3728,OWN2_RACE_WHITE,1,,,1
3733,OWN2_RET,-2,,,1
3738,OWN2_RET,0,,,1
3743,OWN2_RET,1,,,1
3748,OWN2_SOC_NWOS,-2,,,1
3753,OWN2_SOC_NWOS,0,,,1
3758,OWN2_SOC_NWOS,1,,,1
3763,OWN2_SOC_NWOS,10,,,1
3768,OWN2_SOC_NWOS,11,,,1
3773,OWN2_SOC_NWOS,12,,,1
3778,OWN2_SOC_NWOS,13,,,1
3783,OWN2_SOC_NWOS,2,,,1
3788,OWN2_SOC_NWOS,3,,,1
3793,OWN2_SOC_NWOS,4,,,1
3798,OWN2_SOC_NWOS,5,,,1
3803,OWN2_SOC_NWOS,6,,,1
3808,OWN2_SOC_NWOS,7,,,1
3813,OWN2_SOC_NWOS,8,,,1
3818,OWN2_SOC_NWOS,9,,,1
3823,OWN2_SOC_NWOS,99,,,1
3882,OWNTYPE,6,,1,1
3897,PARC_MULTI_NUMBER,,,,1
3909,POST_RESTR_HUNT,-2,,,1
3914,POST_RESTR_HUNT,0,,,1
3924,POST_RESTR_OTH,-2,,,1
3929,POST_RESTR_OTH,0,,,1
3944,POST_RESTR_TRES,0,,,1
3954,POST_RESTR_VEH,-2,,,1
3959,POST_RESTR_VEH,0,,,1
3969,REC_HOW_BIKE,-2,,,1
3974,REC_HOW_BIKE,0,,,1
3984,REC_HOW_CAMP,-2,,,1
3989,REC_HOW_CAMP,0,,,1
3999,REC_HOW_FISH,-2,,,1
4004,REC_HOW_FISH,0,,,1
4014,REC_HOW_HIKE,-2,,,1
4019,REC_HOW_HIKE,0,,,1
4029,REC_HOW_HORSE,-2,,,1
4034,REC_HOW_HORSE,0,,,1
4049,REC_HOW_HUNT,0,,,1
4059,REC_HOW_OHV,-2,,,1
4064,REC_HOW_OHV,0,,,1
4074,REC_HOW_OTH,-2,,,1
4079,REC_HOW_OTH,0,,,1
4089,REC_HOW_SKI,-2,,,1
4094,REC_HOW_SKI,0,,,1
4104,REC_WHO_CHILD,0,,,1
4114,REC_WHO_FAM,0,,,1
4124,REC_WHO_FRND,0,,,1
4134,REC_WHO_NEIGH,0,,,1
4144,REC_WHO_NONE,0,,,1
4154,REC_WHO_OTH,0,,,1
4164,REC_WHO_OWN,0,,,1
4174,REC_WHO_PUB_FEE,0,,,1
4184,REC_WHO_PUB_FREE,0,,,1
4256,TOTAL,1,,,1
4271,TRAN,2,1,1,1
4276,TRAN,6,1,1,1
4306,TRAN_FUT_TO_BUS,-2,,,1
4311,TRAN_FUT_TO_BUS,0,,,1
4321,TRAN_FUT_TO_CHILD,-2,,,1
4326,TRAN_FUT_TO_CHILD,0,,,1
4336,TRAN_FUT_TO_CHILD_NUMBER,,,,1
4338,TRAN_FUT_TO_DONTKNOW,-2,,,1
4343,TRAN_FUT_TO_DONTKNOW,0,,,1
4353,TRAN_FUT_TO_FAM,-2,,,1
4358,TRAN_FUT_TO_FAM,0,,,1
4368,TRAN_FUT_TO_FAM_NUMBER,,,,1
4370,TRAN_FUT_TO_GOV,-2,,,1
4375,TRAN_FUT_TO_GOV,0,,,1
4385,TRAN_FUT_TO_INDIV,-2,,,1
4390,TRAN_FUT_TO_INDIV,0,,,1
4400,TRAN_FUT_TO_OTH,-2,,,1
4405,TRAN_FUT_TO_OTH,0,,,1
4415,TRAN_FUT_WHY_COST,-2,,,1
4420,TRAN_FUT_WHY_COST,0,,,1
4425,TRAN_FUT_WHY_COST,1,1,1,1
4430,TRAN_FUT_WHY_INV,-2,,,1
4435,TRAN_FUT_WHY_INV,0,,,1
4440,TRAN_FUT_WHY_INV,1,1,1,1
4445,TRAN_FUT_WHY_MARKET,-2,,,1
4450,TRAN_FUT_WHY_MARKET,0,,,1
4455,TRAN_FUT_WHY_MARKET,1,1,1,1
4460,TRAN_FUT_WHY_MONEY,-2,,,1
4465,TRAN_FUT_WHY_MONEY,0,,,1
4470,TRAN_FUT_WHY_MONEY,1,1,1,1
4475,TRAN_FUT_WHY_NOINTEREST,-2,,,1
4480,TRAN_FUT_WHY_NOINTEREST,0,,,1
4485,TRAN_FUT_WHY_NOINTEREST,1,1,1,1
4490,TRAN_FUT_WHY_OTH,-2,,,1
4495,TRAN_FUT_WHY_OTH,0,,,1
4500,TRAN_FUT_WHY_OTH,1,1,1,1
4505,TRAN_FUT_WHY_READY,-2,,,1
4510,TRAN_FUT_WHY_READY,0,,,1
4515,TRAN_FUT_WHY_READY,1,1,1,1
4535,TRAN_TO_BUS,-2,,,
4540,TRAN_TO_BUS,0,,,
4555,TRAN_TO_CHILD,0,,,
4565,TRAN_TO_FAM,-2,,,
4570,TRAN_TO_FAM,0,,,
4580,TRAN_TO_GOV,-2,,,
4585,TRAN_TO_GOV,0,,,
4595,TRAN_TO_INDIV,-2,,,
4600,TRAN_TO_INDIV,0,,,
4610,TRAN_TO_OTH,-2,,,
4615,TRAN_TO_OTH,0,,,
